Linea;Ruta;Nodo;Nombre;Posicion;StrTipoServicio
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;48726;338B02_CE.;0;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;3686;089A02.;564;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;44355;150A01_CE;1692;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;39834;574A01;2120;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;27726;432A01 - VERBENAL (S-N);2832;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;2034;520A01;3222;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1432;434A01;3363;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1433;439A01-San Antonio;3637;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1434;464A01;4076;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;32727;567A01;4390;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1435;066A01;4756;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1436;064A01;5070;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1437;062A01-Tibabita;5571;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1438;060A01;5822;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1439;190A01;6079;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1440;320A01;6314;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1441;227A01_;6830;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1442;044A01;7298;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1443;229A01;7504;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;31909;231A01;7840;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;30240;233A01_;8336;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;30241;235A01;8595;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1445;045A01.;9084;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1446;070A01;9459;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1447;238A01;9688;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1448;240A01;10203;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1449;264A01_CE;10612;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1450;244A01;10852;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1451;245A01.;11001;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1452;247A01;11379;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1453;249A01;11656;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1454;251A01-Hotel Bta;11952;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;4614;176A01;12291;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33162;621A01;13468;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33163;622A01;13757;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;48827;623A01_CE;14248;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;43723;666A01_ce;14477;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;43922;665A01_kr11xCl104a;15167;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;43923;664A01_AK 11 - CL 102;15447;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33350;218A00_AK11XCl97A_ce;15922;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33351;219A00_AK11XCl94A_ce;16260;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33352;220A00-AK11XCl93A_ce;16527;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33353;044A00-AK11XCl92_ce;16791;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;33354;221A00-AK11XCl90_ce;16975;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1465;222A00;17280;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1466;045A00;17626;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1467;223A00-Andino;17786;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1468;224A00;18198;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1469;225A00_;18693;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;1470;226A00-Pedagogica;18925;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;28561;227A00 - Clínica de Traumatología y Ortopedia;19175;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;28562;228A00 - Br. Quinta Camacho;19384;[0] URBANO
[28] 544B;[3926] 544B_HABITUAL_29.07.2019;28563;229A00 - Clínica del niño;19542;[0] URBANO
