,CENEFA,Longitud,Latitud
0,020A12,-74.1229,4.520579
1,053A12,-74.1072,4.498943
2,116A12,-74.1233,4.523468
3,472A03,-74.0756,4.739879
5,474A03,-74.0737,4.73897
6,543B03,-74.0743,4.73736
7,173A02,-74.0741,4.734009
8,028A02,-74.0734,4.731254
9,025A02,-74.0717,4.730728
10,129A02,-74.0695,4.7299370000000005
11,024A02,-74.0663,4.7288190000000005
12,127A02,-74.0649,4.728314
13,358A02,-74.063,4.727433
14,125A02,-74.0603,4.726468
15,123A02,-74.058,4.725672
16,121A02,-74.0545,4.724398000000001
17,320A02,-74.0516,4.722457
18,079A02,-74.056,4.719247
19,018A02,-74.0589,4.720344
20,023A02,-74.0624,4.7226550000000005
21,116A02,-74.0647,4.723674
22,034A02,-74.0654,4.7254760000000005
23,082A02,-74.0646,4.727362
24,128A02,-74.0663,4.728969
25,130A02,-74.07,4.730258
26,131A02,-74.0719,4.730944
27,027A02,-74.0735,4.731361
28,234A02,-74.074,4.734008
29,569A03,-74.0741,4.737008
30,476A03,-74.0741,4.738137999999998
547,132A02,-74.0647,4.727623
548,135A02,-74.0653,4.726274
549,091A02,-74.0666,4.72336
550,133A02,-74.0678,4.720603
551,154A02,-74.0691,4.7175660000000015
552,037A02,-74.0699,4.715736
553,038A02,-74.0704,4.71257
554,148A02,-74.0695,4.711068
555,149A02,-74.068,4.710618
556,151A02,-74.0659,4.70956
557,138A02,-74.0632,4.708286
558,144A02,-74.0601,4.707544
559,145A02,-74.0561,4.706858
560,050A01,-74.0507,4.705883
561,187A01,-74.0474,4.704839
562,185A01,-74.044,4.704047
563,301A01,-74.0429,4.70266
564,300A01,-74.043,4.701173000000002
565,299A01,-74.0431,4.699376999999999
566,298A01,-74.0432,4.696922
567,297A01,-74.0435,4.695143
568,296A01,-74.0444,4.693452
569,295A01,-74.0464,4.689918
570,294A01,-74.0479,4.686383
571,215A00,-74.045,4.683222
572,218A00,-74.0443,4.680861
573,219A00,-74.0457,4.6782629999999985
574,220A00,-74.0467,4.676299
575,044A00,-74.0479,4.6739510000000015
576,221A00,-74.0487,4.672372
577,222A00,-74.05,4.670048
578,045A00,-74.0518,4.667417
579,223A00,-74.0526,4.666323
580,224A00,-74.0547,4.6631230000000015
581,225A00,-74.0571,4.659555
582,226A00,-74.0583,4.657873
583,314A00,-74.0591,4.657621
584,398A00,-74.0608,4.658786
585,299A00,-74.0611,4.659806
586,300A00,-74.0599,4.6615150000000005
587,301A00,-74.0593,4.662441
588,302B00,-74.0581,4.664493
589,303B00,-74.0574,4.665799
590,304B00,-74.0557,4.668943
591,305B00,-74.055,4.670411
592,306B00,-74.0541,4.672308
593,307B00,-74.0534,4.6737160000000015
594,308B00,-74.0528,4.674779
595,310B00,-74.0515,4.677418
596,311B00,-74.0495,4.6813129999999985
597,312B00,-74.04899999999998,4.682258999999998
598,094B00,-74.0485,4.683283
599,277B01,-74.0477,4.6863519999999985
600,278B01,-74.046,4.690023
601,279B01,-74.045,4.691782
602,280B01,-74.0432,4.695169
603,281B01,-74.0429,4.698084
604,018B01,-74.0427,4.701842
605,184A01,-74.0438,4.70439
606,186A01,-74.045,4.704552
607,188A01,-74.0476,4.705274
608,189A01,-74.0505,4.706193
609,092A02,-74.056,4.707334
610,146A02,-74.06,4.708038
611,147A02,-74.0633,4.708892
612,006A02,-74.0659,4.709996
613,150A02,-74.0682,4.711015
614,078A02,-74.0689,4.711316
615,039A02,-74.0702,4.712692
616,152A02,-74.0698,4.715561
617,153A02,-74.0689,4.717459
618,036A02,-74.0676,4.720581
619,035A02,-74.0665,4.723022
900,543A12,-74.1067,4.556377
901,294A12,-74.1081,4.555619
902,292A12,-74.1081,4.551682
903,439A12,-74.1087,4.5500050000000005
904,266A12,-74.1094,4.548742
